Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2021-11-03,10:23 AM,11:23 AM,托福阅读改错,60,Application Exam Prepare,2021-11,2021,Wednesday,Application
2021-11-04,12:47 PM,1:11 PM,应付workshop,24,Homework,2021-11,2021,Thursday,School
2021-11-04,1:28 PM,10:52 PM,应付workshop,455,Homework,2021-11,2021,Thursday,School
2021-11-05,7:51 AM,10:21 AM,应付work,150,Homework,2021-11,2021,Friday,School
2021-11-05,10:21 AM,11:12 AM,应付work,51,Homework,2021-11,2021,Friday,School
2021-11-05,4:00 PM,5:25 PM,民族志汇报准备,85,Thesis,2021-11,2021,Friday,Research
2021-11-06,10:00 AM,11:00 AM,阅读做题和改错,60,Application Exam Prepare,2021-11,2021,Saturday,Application
2021-11-06,10:08 AM,4:08 PM,风景区底图,360,Homework,2021-11,2021,Saturday,School
2021-11-06,8:17 PM,8:25 PM,,8,Homework,2021-11,2021,Saturday,School
2021-11-07,10:40 AM,12:20 PM,应付风景区,100,Homework,2021-11,2021,Sunday,School
2021-11-07,8:22 PM,9:11 PM,,49,Data Science & Programming,2021-11,2021,Sunday,Data Science & Programming
2021-11-07,9:18 PM,10:22 PM,,63,Read Books,2021-11,2021,Sunday,Personal Growth
2021-11-08,9:29 AM,11:50 AM,,141,Application Exam Prepare,2021-11,2021,Monday,Application
2021-11-08,3:51 PM,5:32 PM,应付风景区,101,Homework,2021-11,2021,Monday,School
2021-11-09,11:00 AM,11:18 AM,阅读练习,18,Application Exam Prepare,2021-11,2021,Tuesday,Application
2021-11-09,11:18 AM,11:48 AM,阅读练习,30,Application Exam Prepare,2021-11,2021,Tuesday,Application
2021-11-09,3:18 PM,3:23 PM,背单词,5,Application Exam Prepare,2021-11,2021,Tuesday,Application
2021-11-09,3:32 PM,4:18 PM,托福阅读改错,46,Application Exam Prepare,2021-11,2021,Tuesday,Application
2021-11-10,8:35 AM,10:00 AM,写作,85,Application Exam Prepare,2021-11,2021,Wednesday,Application
2021-11-10,3:18 PM,5:19 PM,分析,121,Thesis,2021-11,2021,Wednesday,Research
2021-11-10,7:18 PM,8:18 PM,写作,60,Application Exam Prepare,2021-11,2021,Wednesday,Application
2021-11-10,9:06 PM,11:59 PM,城设,173,Homework,2021-11,2021,Wednesday,School
2021-11-11,12:00 AM,1:07 AM,城设,67,Homework,2021-11,2021,Thursday,School
2021-11-12,9:20 AM,10:51 AM,应付workshop,90,Homework,2021-11,2021,Friday,School
